fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Freudenthal, Max, Dr., geb. 12. Juni 1868 in Neuhaus a. d. Fränkischen Saale, Unterfranken, gest. 11. Juli 1937 in München [BHR2],,
Freund, Peter, Dr., geb. 9. April 1906 in Berlin, gest. 1982 in Jerusalem [BHR2],,,
Freund, Samuel, Dr., geb. 24. Sept. 1868 in Gleiwitz (Gliwice), Oberschlesien, gest. 28. Juni 1939 in Hannover [BHR2],,
Freund, Siegfried, Dr., 1829-1915 [BHR2],,,,
Fried, Salomon, Dr., auch Seligmann F., geb. 16. März (Mai?) 1847 in Ó-Gyalla (Hurbanovo), Ungarn, gest. 4. Febr. 1906 in Ulm [BHR2],
Friedeberg, Salomon, 1824-1894 [BHR2],,,,,
Frieden, Moses, 1837-1900 [BHR2],,,,,
Friediger, Max, Dr., auch Moses F., geb. 9. April 1884 in Budapest, gest. 1947 in Kopenhagen [BHR2],,
Friedmann, Benjamin, Dr., geb. 7. Sept. 1842 in Csaba, Ungarn, gest. 11. März 1902 in Berlin [BHR2],,
Friedmann, Bernhard, Dr., 1820-1886 [BHR2],,,,
Friedmann, Isidor, Dr., geb. 10. Dez. 1873 in Hainfurth bei Nördlingen, Bayern, gest. 1936 [BHR2],,
Friedmann, Israel, geb. 1878, gest. 1951 in Israel [BHR2],,,,
Friedmann, Nathan, Dr., auch Nochum F., geb. 1879/80 in Miava (Myjava), Slowakei, gest. 15. Okt. 1925 im Alter von 45 Jahren in Mainz [BHR2],
Friedmann, Simon, Dr., geb. 24. Okt. 1849 in Kempen (Kępno), Posen, gest. Mai/Juni 1924 in Wien [BHR2],,
Fritz, Kurt, geb. 1. April 1902 (?), gest. Juli 1976 in Mountain View, Santa Clara, CA/US (?) [BHR2],,
Fröhlich, Wilhelm, Dr., 1832-1888 [BHR2],,,,
Fromm, Seligmann, Dr., 1822-1898 [BHR2],,,,
Fuchs, Hugo Henoch, Dr., geb. 3. Jan. 1878 in Stadtlengsfeld, Sachsen-Weimar, gest. 7. Okt. 1949 in Buenos Aires, Argentinien [BHR2],
Fürst, Julius, Dr., 1826-1899 [BHR2],,,,
Gabrielowitz, Israel, 1810-1887 [BHR2],,,,,
Gärtner, Eugen, Dr., geb. 7. Dez. 1885 in Schweinfurt, gest. März 1980 in Kew Gardens, Queens, NY/US [BHR2],
Galliner, Julius, Dr., geb. 3. Febr. 1872 in Zinten (Kornevo), Ostpreußen, gest. 7. Sept. 1949 in New York City, USA [BHR2],
Galliner, Siegfried, Dr., geb. 25. Jan. 1875 in Zinten, Ostpreußen, gest. 3. März 1960 in London [BHR2],,
Gallinger, Joseph Stephen, geb. 13. März 1912 in Wittelshofen, Mittelfranken, gest. Mai 1976 in Georgia, USA [BHR2],,
Gans, Sally, Dr., geb. 25. April 1878 in Wreschen, Posen, verschollen 1944 in Auschwitz [BHR2],,
Garbatty, Adolf Abraham Moritz, Dr., auch A. Gorbate, geb. 21. Juni 1865, gest. 11. Nov. 1923 in Berlin [BHR2],,
Gebhardt, Julius, Dr., 1810-1885 [BHR2],,,,
Geiger, Abraham, Dr., 1810-1874 [BHR2],,,,
Geis, Robert Raphael, Prof. Dr., geb. 4. Juli 1906 in Frankfurt a. M., gest. 18. Mai 1972 in Baden-Baden [BHR2],,,
Geismar, David, um 1800-nach 1887 [BHR2],,,,,
Gelbhaus, Siegmund, Dr., auch Josua Samuel G., geb. 1850 in Tysmenytsya, Galizien, gest. 10. Sept. 1928 in Baden bei Wien während eines Kuraufenthalts [BHR2],
Gelles, Siegfried, Dr., geb. 30. Dez. 1884 in Krotoschin, Posen, gest. 3. Sept. 1947 in London [BHR2],,
Gersfeld, Liebmann, 1808-1876 [BHR2],,,,,
Ginsburger, Moses, Prof. Dr., franz. Moïse G., geb. 12. Nov. 1865 in Hattstatt, Oberelsaß, gest. 9. Aug. 1949 in Sélestat, Elsaß [BHR2]
Glaser, A. M., Dr [BHR2],,,,,
Glaser, Jacob, geb. Mai (Juni?) 1848 in Georgenburg (Jurbarkas), Russ. Reich, gest. 11. Juli 1908 in Straßburg im Elsaß [BHR2],,,
Glück, Jacob Akiba, Dr., 1838-nach 1904 [BHR2],,,,
Goitein, Eduard Ezechiel, Dr., geb. 26. Aug. 1864 in Högyész, Ungarn, gest. 6. März 1914 in Burgkunstadt [BHR2],,
Goitein, Gabor Gedalia, Dr., auch Gabriel G., geb. 3. Okt. 1848 in Hőgyész, Ungarn, gest. 25. April 1883 in Karlsruhe [BHR2],
Golanski, Ludwig, Dr [BHR2],,,,,
Goldberg, Hirsch, geb. 11. April 1889 in lchenhausen, Bayern, verschollen 1942 in Auschwitz [BHR2],,,
Goldmann, Benedikt, Dr., gest. nach 1879 [BHR2],,,,
Goldmann, Felix, Dr., geb. 16. April 1882 in London, gest. 7. Okt. 1934 in Leipzig [BHR2],,,
Goldmann, Philipp, 1808-1894 [BHR2],,,,,
Goldschmidt, Abraham Meyer, Dr., 1812-1889 [BHR2],,,,
Goldschmidt, Israel, Dr., geb. 20. Mai 1849 (lt. Vita: anno 1848) in Diós-Borény (Diósberény), Ungarn, gest. 13. Sept. 1924 in Offenbach [BHR2],,
Goldschmidt, Pessach, 1798-1874 [BHR2],,,,,
Goldschmidt, Salomon, Dr., 1837-1927 [BHR2],,,,
Goldschmidt, Salomon, Dr., geb. 19. Jan. 1865 in Wreschen, Posen, gest. 20. Okt. 1933 in Berlin [BHR2],,
Goldstein, Aron David, Dr., geb. 10. Febr. 1838 (lt. Vita/Prom.-Akte 4. Febr. 1844) in Szerdahelj, Ungarn, gest. 6. Sept. 1913 in Mutzig, Unterelsaß [BHR2],
Golinski, Ludwig, Prof. Dr., geb. 1879 in Lissa, Posen, gest. 1942 in Jerusalem [BHR2],,
Gomer, Chajim Abba, Dr [BHR2],,,,,
Gorbate Adolf Abraham Moritz, Dr [BHR2],,,,,,
Gottlieb-Joez b. Mosche, 1815-1873 [BHR2],,,,,,
Gottlieb, Emanuel, auch Manuel G., geb. 1848/49 (Brann: 1854) in Tuckum, Kurland, gest. 22. Nov. 1911 in Hannover im 63. Lebensjahr [BHR2],,
Gottschalk, Benno, Dr., geb. 28. Okt. 1883 in Berlin, gest. Juli 1966 in Los Angeles, CA/US [BHR2],,
Grabowski, Viktor, Dr., geb. 1. Aug. 1863 in Kempen (Kępno), Posen, gest. 1. Dez. 1931 in Wuppertal-Barmen [BHR2],,
Gradenwitz, Zvi Hugo, Dr., auch Hirsch G., geb. 13. Sept. 1876 in Rawitsch (Rawicz), Posen, gest. 19. Nov. 1943 in Auschwitz [BHR2],
Graf, Louis Gerhard, Dr., geb. 28. März 1912 in Berlin, gest. Febr.(?) 1987 in Ely, Cardiff, England [BHR2],
Greilsheimer, Julius, geb. 29. April 1890 in Friesenheim, Baden, gest. 11. Febr. 1944 in Auschwitz [BHR2],,,
Gronemann, Selig, Dr., geb. 7. Dez. 1843 in Flötenstein (Koczała), Westpreußen, gest. 6. März 1918 in Hannover [BHR2],,
Gross, Heinrich, Dr., 1835-1910 [BHR2],,,,
Gross, M., gest. nach 1899 [BHR2],,,,,
Grün, Iwan Jacob, Dr., geb. 4. Okt. 1900 in Berlin, gest. 1981 in New Castle, PA/US [BHR2],,
Grün, Samuel, Dr., geb. 1841 in Ung.-Brod, Mähren, gest. in Wien [BHR2],,
Grünbaum, Aron Bär, 1812-1893 [BHR2],,,,,
Grundfeld, S [BHR2],,,,,,
Grünebaum, Elias, 1807-1893 [BHR2],,,,,
Grünewald, Max, Dr., auch Grunewald, geb. 4. Dez. 1899 in Königshütte (Chorzów)  [BHR2], Oberschlesien, gest. 28. Dez. 1992 in Milburn, NJ
Grünfeld, Hermann, Dr., geb. 10. Okt. 1839 in Nikolsburg, Mähren, gest. 4. April 1915 in Berlin [BHR2],,
Grünfeld, Richard, Dr., geb. 16. Juli 1863 in Kremsier (Kroměříž), Mähren, gest. Ende Okt./Anf. Nov. 1931 in Nürnberg [BHR2],,
Grünfeld, S., Dr [BHR2],,,,,
Grünthal, Julius, Dr., geb. 29. Dez. 1875 in Posen, gest. 16. April 1943 im KZ Sobibor [BHR2],,,
Grunwald, Max, Dr., auch Grünwald, hebr. Meir G., geb. 10. Okt. 1871 in Zabrze (Hindenburg), Oberschlesien, gest. 24. Jan. 1953 in Jerusalem [BHR2]
Grzymisch, Siegfried, Dr., geb. 4. Aug. 1875 in Pleschen (Pleszew), Posen, verschollen 1944 in Auschwitz [BHR2],,
Güdemann, Moritz, 1835-1918 [BHR2],,,,,
Gugenheimer, Raphael, Dr., geb. 4. Aug. 1867 in Kolín, Böhmen [BHR2],,,
Guggenheim, Isaac, franz. Gugenheim, geb. 12. März 1847 in Dornach, gest. 3. Nov. 1918 in Sarre-Union, Unterelsaß [BHR2],,
Guggenheim, Max, franz. Gugenheim, geb. 15. Juni 1877 in Seppois-le-Bas (Niedersept), gest. 9. August 1968 in Paris [BHR2],,,
Gumpertz, Hermann, geb. 6. Sept. 1851 in Frankfurt a. M., gest. 1938 in Hamburg [BHR2],,,,
Gunzenhauser, Samson, 1830-1893 [BHR2],,,,,
Guttmacher, Elias, 1796-1874 [BHR2],,,,,
Guttmann, Heinrich, Dr., anglisiert Henry G., geb. 26. März 1905 in Csongrád, Ungarn, gest. 23. Okt. 1995 in Daytona Beach, FL/US [BHR2]
Guttmann, Jakob, Prof. Dr., geb. 12. April 1845 in Beuthen (Bytom), Oberschlesien, gest. 29. Sept. 1919 in Breslau [BHR2],,
Guttmann, Julius, Prof. Dr., hebr. Yitzchak G., geb. 15. April 1880 in Hildesheim, gest. 19. Mai 1950 in Jerusalem [BHR2],,
Guttmann, Moritz, Dr., geb. 27. April 1861 in Beuthen (Bytom), Oberschlesien, gest. 20. April 1914 in Kulm (Chełmno), Westpreußen [BHR2],
Haas, David Hirsch, Dr., 1834-1878 [BHR2],,,,
Haas, Moses, Dr., 1811-1887 [BHR2],,,,
Hahn, Hugo, Dr., geb. 14. Jan. 1893 in Tiengen b. Heidelberg, gest. 7. Nov. 1967 in New York City [BHR2],,,
Hahn, Salomon, Dr., 1828-1898(?) [BHR2],,,,
Halberstamm, Israel, geb. 15. Febr. 1899, gest. Sept. 1981 in Brooklyn, New York [BHR2],,,
Halevy, Isaac, auch Jitzchak Eisik Rabinowitz, geb. 20. Sept. 1847 in Ivenitz, nahe Wilna, gest. 15. Mai 1914 in Hamburg [BHR2],,
Hamburger, Bernhard, Dr., geb. 6. Nov. 1875 in Alzenau, Unterfranken, verschollen 1943 in Auschwitz [BHR2],,
Hamburger, Ernst Tobias, hebr. Eliezer Tovia-Avi Josef Immanuel H., geb. 1911 in Allenstein (Olsztyn), Ostpreußen, gest. 1985 in Jerusalem [BHR2],,
Hamburger, Jacob, Dr., 1826-1911 [BHR2],,,,
Handl, Hermann, Dr., 1839-1925 [BHR2],,,,
Hanff, Hansjörg, geb. 13. Aug. 1915 in Stettin, verschollen 1942 in Osteuropa [BHR2],,,,
Hannes, Ludwig, Dr., geb. 15. Sept. 1868 in Fraustadt, Posen, gest. 1907(?) [BHR2],,
Hanover, David, Dr., 1835-1901 [BHR2],,,,
Hanover, Siegmund Adolf, Dr., auch Simon H., geb. 19. Aug. 1880 in Wandsbek b. Hamburg, gest. 1964 in Haifa [BHR2],,
Heckscher, Julius Wolf, Dr., 1836-1883 [BHR2],,,,
Heidenheim, Philipp, Dr., 1814-1906 [BHR2],,,,
Heilbronn, David, auch Daniel H., Reb Tufet, franz. Halbronn, geb. 17. Febr. 1803 in Straßburg, gest. 25. Dez. 1872 in Pfastatt, Oberelsaß [BHR2]
Heilbronn, Isak, Dr., 1828-1909 [BHR2],,,,
Heilbronn, Isaak, Dr., geb. 4. Juni 1880 in Tann in der Rhön, Hessen-Nassau, gest. 1943 in New York City, USA [BHR2],
Heilbut, Louis Juda, Dr., geb. 1848 in Altona, gest. 20. Aug. 1884 in Merchingen, Baden [BHR2],,
Heimann, Harry, Dr., anglisiert Hyman, geb. 1. April 1910 in Bromberg, Posen, gest. 22. Okt. 1993 in Los Angeles, CA [BHR2]
Heppner, Aron, Dr., geb. 22. Juli 1865 in Pleschen (Pleszew), Posen, gest. 3. Dez. 1938 in Breslau [BHR2],,
Herbst, Josef, geb. 20. Mai 1910 in Krefeld [BHR2],,,,,
Herbst, Salomon, Dr., geb. 1912 in Krefeld [BHR2],,,,
Hermon, Zwi, Dr [BHR2],,,,,
Herxheimer, Salomon, Dr., 1801-1884 [BHR2],,,,
Herz, Max, 1815-1904 [BHR2],,,,,
Herzfeld, Levi, Prof. Dr., 1810-1884 [BHR2],,,,
Herzog, Dr [BHR2],,,,,,
Hilb, Maier, 1807-1880 [BHR2],,,,,
Hildesheimer, Esriel Erich, Dr. jur., auch Esra H., geb. 26. Dez. 1901 in Berlin, gest. in Tel Aviv [BHR2],,
Hildesheimer, Esriel, Dr., 1820-1899 [BHR2],,,,
Hirsch, Abraham, geb. 1849, gest. Dez. 1885 in Burgpreppach, Bayern [BHR2],,,
Hirsch, Jakob, Dr [BHR2],,,,,
Hirsch, Marcel Nathan, auch Meyer H., geb. 22. Jan. 1797 in Haguenau, Unterelsaß, gest. 18. Nov. 1889 in Sierentz, Oberelsaß [BHR2],
Hirsch, Mordechai-Amram, auch Markus H., geb. 17. Febr. 1833 in Tiszabő (Tisza-Beö), Ungarn, gest. 18. Mai (27. Ijar) 1909 in Hamburg [BHR2],,
Hirsch, Raphael, Dr [BHR2],,,,,
Hirsch, Samson Raphael, 1808-1888 [BHR2],,,,,
Hirschberg, Hans, Dr., anglisiert Harris H., geb. 14. Juli 1908, Berlin, gest. Sept. 1980 in Los Angeles, CA/US [BHR2]
Hirschfeld, Aron, Dr., 1820-1885 [BHR2],,,,
Hirschfeld, Hirsch, Dr., 1811-1884 [BHR2],,,,
Hirschfeld, Jakob Heinrich, Dr., 1819-1902 [BHR2],,,,
Hirschfeld, Leo Jehuda, Dr., geb. 28. Mai 1867 in Posen, gest. 20. Sept. 1933 in Gießen [BHR2],,,
Hochfeld, Julius, Dr., gest. 1921 [BHR2],,,,
Hochfeld, Samson, Dr., geb. 21. Juli 1871 in Höxter, gest. 10. Aug. 1921 in Berlin an einem Schlaganfall [BHR2],,,
Höchstätter, Benjamin, Dr., 1811-1888 [BHR2],,,,
Hoffmann, David Zvi, Prof. Dr., geb. 24. Nov. 1843 (1. Kislev; lt. Vita: 15. Febr. 1844) in Verbó, Komitat Neutra, Ungarn, gest. 20. Nov. 1921 in Berlin [BHR2],
Hoffmann, Ernst, ung. Ernö H., geb. 18. April 1905 in Győr-Szent-Márton, Ungarn, deportiert 13. April 1942 nach Izbica [BHR2],,
Hoffmann, Jacob Jehuda, Dr., geb. 9. März 1881 in Pápa, Ungarn, gest. 22. Juni 1956 in Tel Aviv [BHR2],,
Hoffmann, Moses Jehuda, Dr., geb. 17. Nov. 1873 in Berlin, gest. 16. Juli 1958 in Petach Tikwa, Israel [BHR2],,
Hoffmann, Nathan, Dr., geb. 1847, gest. 20. Aug. 1895 (1893?) in Neustettin (Szczecinek), Pommern [BHR2],,
Hollander, Jakob, Dr., 1844-1880 [BHR2],,,,
Hollander, Jesaja, 1806-1872 [BHR2],,,,,
Holzer, Isaac Aron, Dr., geb. 15. Jan. 1873 in Krakau, gest. 2. Juli 1951 in New York [BHR2],,,
Holzer, Paul, Dr., geb. 18. Dez. 1892 in Krotoschin, Posen, gest. 2. Nov. 1975 in London [BHR2],,
Horovitz, Jakob, Dr., geb. 30. April 1873 in Lauenburg, Pommern, gest. 16. Febr. 1939 in Arnheim, Niederlande [BHR2],
Horovitz, Josef Jona Zwi, geb. 1892 in Hunsdorf (Huncovce), Slowakei, gest. 1970 in Bne Brak [BHR2],,,
Horovitz, Markus Mordechai, Dr., geb. 5. März (14. Adar) 1844 (lt. Vita: 1847) in Tisza Ladány bei Tokaj, Ungarn, gest. 27. März 1910 in Frankfurt a. M [BHR2],,
Horovitz, Saul, Dr., geb. 1. Dez. 1858 in Czanto, Ungarn, gest. 2. April 1921 in Breslau [BHR2],,
Horowitz, Jakob, Dr., 1837-1907 [BHR2],,,,
Horowitz, Hirsch, geb. 1872 [BHR2],,,,,
Höxter, Levy, Dr., geb. 1863 in Westfalen, gest. 31. Dez. 1925 in Berlin [BHR2],,,
Hulisch, Israel, Dr., geb. 10. Sept. 1841 in Filehne (Wieleń), Prov. Posen, gest. 7. Febr. 1912 in Duisburg [BHR2],,
Hurwitz, Simon, geb. 1810 in Rußland, gest. 6. März 1900 in Leipzig [BHR2],,,,
Hyman, Harry, Dr [BHR2],,,,,
Isaacsohn, Josef, Dr., 1811-1885 [BHR2],,,,
Israel, Benjamin, 1819-1876 [BHR2],,,,,
Italiener, Bruno, Dr., geb. 6. Febr. 1881 in Burgdorf bei Hannover, gest. 17. Juli 1956 in London [BHR2],,,
Jacob, Benno, Dr., geb. 8. Sept. 1862 in Frankenstein (Ząbkowice Śląskie), Schlesien, gest. 24. Jan. 1945 in London [BHR2],,
Jacob, Ernst I., Dr., anglisiert Ernest J., geb. 24. Sept. 1899 in Göttingen, gest. 11. April 1974 in Pittsburgh, PA/US [BHR2],
Jacobovits, Julius, Dr [BHR2],,,,,
Jacobs, Alfred, Dr., geb. 6. April 1897 in Nuttlar, Westfalen, gest. 15. April 1972 in New York, USA [BHR2],
Jacobsohn, Jakob Hirsch, Dr., 1810-1885 [BHR2],,,,
Jacobson, Moses, Dr., geb. 24. Okt. 1853 in Hamburg, gest. 16. Nov. 1930 in Hamburg [BHR2],,,
Jacobus, Adolf Abraham, Dr., geb. 7. Okt. 1883 in Zempelburg (Sępólno Krajeńskie), Westpreußen, gest. 1979 in Jerusalem [BHR2],,
Jaffe, Ber, auch B. Joffe, aus Resnik (Rozhanka), Rußland [BHR2],,,
Jaffé, Heimann, Dr., 1826-1883 [BHR2],,,,
Jakobovits, Julius, Dr., geb. 23. März 1886 in Lackenbach, Burgenland, gest. 7. Febr. 1947 in London [BHR2],,
Jampel, Sigmund, Dr., auch Siegmund J., geb. 30. Nov. 1874 in Tuchol’ka, Galizien, gest. 16./17. Okt. 1934 in Schwedt a. d. Oder [BHR2],
Janowitz, Moritz, Dr., geb. 22. Sept. 1850 in Eisenstadt, Ungarn, gest. 15. Juni 1919 in Berlin [BHR2],,
Jaraczewsky, Adolph, Dr., 1829-1911 [BHR2],,,,
Jaretzki, Julius, auch J. Jarecki, geb. 26. Dez. 1873 in Posen, gest. 5. Febr. 1942 in Riga [BHR2],,,
Jaulus, Heinrich, Dr., geb. 4. Aug. 1849 in Vecs an der Waag (Nové Mesto nad Váhom), Ungarn, gest. 19. Jan. 1927 in Aachen [BHR2],,
Jelski, Julius, Dr., geb. 29. Nov. 1867 in Slonim, Russisch Polen, gest. 1953 in Montevideo, Uruguay [BHR2],
Joël, David, Dr., 1815-1882 [BHR2],,,,
Joël, Hermann (auch Heymann o. Hirsch), Dr., gest. 1881 [BHR2],,,,
Joël, Manuel, Dr., 1826-1890 [BHR2],,,,
Joelsohn, Jecheskel, 1788-1885 [BHR2],,,,,
Jonas, Regina, geb. 3. Aug. 1902 in Berlin, verschollen Okt. 1944 in Auschwitz [BHR2],,,,
Josaphat, Gerson, 1808-1883 [BHR2],,,,,
Joseph, Israel [BHR2],,,,,,
Joseph, Martin, Dr., geb. 25. Juli 1879 in Filehne (Wieleń), Posen, gest. 17. Sept. 1943 in Auschwitz [BHR2],,
Joseph, Max, Dr., auch Maximilian J., geb. 23. Mai (1. April=9. Nisan?) 1868 in Filehne (Wieleń), Posen, gest. 1950 in Haifa [BHR2],
Joseph, Peter, geb. 20. Jan. (nach Gedenkbuch 2006: 22. Jan.) 1920 in Stettin, verschollen Nov. 1942 in Auschwitz [BHR2],,,,
Josephsohn, Caesar, Dr., geb. 1. Sept. 1863 in Lautenburg (Lidzbark Welski), Westpreußen, gest. 1937 in Posen [BHR2],,
Jospe, Alfred, Dr., geb. 31. März 1909 in Berlin, gest. 19. Nov. 1994 in Washington D.C./US [BHR2],,,
Kaatz, Saul, Dr., geb. 5. Jan. 1870 in Schwersenz, Posen, umgekommen 1942 in Theresienstadt [BHR2],,
Kaelter, Robert Rafael, Dr., geb. 27. Juli 1874 in Breslau, gest. 6. März 1926 in St. Blasien während eines Kuraufhaltes [BHR2],,,
Kahlberg, Abraham Albert, Dr., geb. 1883 in Uslar, Weserbergland, gest. 19. Febr. 1966 in Hamburg während eines Gottesdienstes in der Synagoge [BHR2],,
Kahn, Joseph, Dr., 1809-1875 [BHR2],,,,
Kahn, Leo Lipman, Dr., geb. 7. Sept. 1842 in Sulzburg, Baden, gest. 28. Okt. 1936 in Wiesbaden [BHR2],,
Kahn, Ludwig, Dr., 1845-1914 [BHR2],,,,
Kahn, Moritz, Dr., auch Moses K., geb. 30. Juli 1871 in Baisingen, Württ., gest. 2. Jan. 1946 in Bne Brak, Israel [BHR2]
Kalir, Joseph, Prof. Dr [BHR2],,,,,
Kalischer, Elias, Dr., geb. 2. (4.?) Aug. 1862 in Lissa, Posen, gest. 25. Mai 1932 in Berlin [BHR2],,
Kalischer, Hirsch, 1795-1874 [BHR2],,,,,
Kamerase, Leo Michael, Dr., geb. 16. März 1856, gest. 4. Okt. 1915 im jüdischen Krankenhaus in Berlin [BHR2],,,
Kaner, David M., auch Kahaner [BHR2],,,,,
Kantorowsky, Georg, Dr., geb. 24. Aug. 1883 in Loslau (Wodzisław Śląski), Oberschlesien, gest. 30. Aug. 1972 in Oakland, CA/US [BHR2],
Kasinski, Sali, Dr [BHR2],,,,,
Kastellan, Jakob, gest. 1877 [BHR2],,,,,
Katten, Max, Dr., geb. 5. Okt. 1892 in Bonn-Poppelsdorf, gest. 25. März 1957 in London [BHR2],,,
Keller, Aron, Dr., geb. 28. April 1909 in Radomyśl, Galizien, gest. 1998 in Nahariya, Israel [BHR2],
Kellermann, Benzion, Dr., geb. 11. Dez. 1869 in Gerolzhofen, Bayern, gest. 22. Juni 1923 in Berlin [BHR2],,
Kempner, Herbert, auch Fritz K.(?), geb. 15. Okt. 1921 in Berlin, umgekommen in Auschwitz [BHR2],,,
Kirsch, Raphael, Dr., geb. 8. Okt. 1863 in Krakau, gest. 1. Aug. 1927 auf einer Automobilfahrt von Leipzig nach Berlin [BHR2],,,
Kirschbaum, Mendel Menachem, geb. 5. Mai 1895 in Krakau, verschollen 1942 in Auschwitz [BHR2],,,,
Klappholz, Kurt, geb. 5. Juni 1913 in Berlin, gest. März 1975 in New York City, US [BHR2],,,
Klausner, Hirsch, 1802-1887 [BHR2],,,,,
Klein, Abraham Isaak, Dr., auch Arnold oder Adolf K., geb. 17. Sept. 1875 in Dunaföldvár, Ungarn, gest. 1961 in Jerusalem [BHR2],
Klein, David, Dr., 1822-1893 [BHR2],,,,
Klein, Gottlieb, Prof. Dr., geb. 18. Febr. 1852 in Homonna, Slowakei, gest. 6. April 1914 Saltsjöbaden, Schweden [BHR2],
Klein, Hermann Zwi, Dr., auch German K., geb. 10. Jan 1879 in Nagysalló (Tekovské Lužany), Slowakei, gest. 1955 in Buenos Aires [BHR2],
Klein, Hugo, Dr., geb. 10. März 1890 in Freystadt in Westpreußen (Gedenkbuch 2006: Berlin), ermordet 18. Aug. 1942 in Riga [BHR2],,,
Klein, Joseph, Dr., 1807-1873 [BHR2],,,,
Klein, Siegfried, Dr., geb. 31. Dez. 1882 in Rheydt, Bez. Düsseldorf, verschollen 1944 in Auschwitz [BHR2],,
Klemperer, Wilhelm, Dr., 1839-1912 [BHR2],,,,
Kliersfeld, Joseph, Prof. Dr., seit 1949 Kalir, geb. 2. Dez. 1908 in Stettin (Szczecin), gest. 10. Sept. 1988 in Tustin, CA/US [BHR2],
Kobak, Josef Israel, um 1832-1913 [BHR2],,,,,
Kober, Adolf, Dr., geb. 3. Sept. 1879 in Beuthen (Bytom), Oberschlesien, gest. 30. Dez. 1958 in New York [BHR2],,
Koch, Carl, Dr., franz. Charles K., geb. 2. Okt. 1865 in Lembach, Unterelsaß, gest. 7. Sept. 1920 in Göteborg [BHR2],
Koch, Léonard Sylvain, Dr., geb. 29. Mai 1867 in Lembach, Unterelsaß, gest. 17. Febr. 1930 in Wissembourg, Unterelsaß [BHR2],
Köhler, Max, Dr., geb. 15. Mai 1899 in Kassel, gest. 30. Nov. 1987 in Jerusalem [BHR2],,,
Königsberger, Bernhard, Dr., auch Bär o. Baruch K. geb. 20. Okt. (lt. Vita: 18. Dez.) 1866 in Kattowitz, Schlesien, gest. 4. Juni 1927 in Berlin an den Folgen eines Verkehrsunfalls [BHR2],,
Königshöfer, Emanuel, geb. 30. Mai 1908 in Frankfurt a. Main [BHR2],,,,,
Kohn, Abraham Jakob, geb. 4. Jan. 1868, gest. 1. Juni 1922 in Bühl [BHR2],,,,
Kohn, Jacob, Dr., gest. nach 1913 [BHR2],,,,
Kohn, Julius, Dr [BHR2],,,,,
Kohn, M., Dr [BHR2],,,,,
Kohn, Marx Michael, gest. 1888 [BHR2],,,,,
Kohn, Pinchas, Dr., Pseudonym Sanon Kopi, geb. 27. Febr. 1867 in Kleinerdlingen, Bayr.-Schwaben, gest. 11. Juli 1941 in Jerusalem [BHR2],
Kokotek, Jakob J., Dr., geb. 22. Juni 1911 in Bendzin (Będzin) [BHR2],,,,
Kopfstein, Max, Dr., auch Markus K., geb. 1856 in Pomáz, Ungarn, gest. 31. Aug. 1924 an einem Herzschlag in Bad Nauheim [BHR2],
Koppel, Max, Dr., geb. 12. Aug. 1905 in Mönchengladbach [BHE: Łódz], 16. Dez. 1974 bei einem Raubüberfall in New York ermordet [BHR2],,,
Koref, Mordechai Markus, Dr., geb. 15. Juli (Juni?) 1833 in Prag, gest. 20. Febr. 1900 in Hanau [BHR2],,,
Kottek, Heimann, Dr., auch Hermann K., geb. 19. Nov. 1860 in Pleschen (Pleszew), Posen, gest. 26. Dez. 1912 in Homburg vor der Höhe an einem Herzschlag [BHR2],
Krakauer, Hugo, Dr., geb. 24. Aug. in Nikolsburg (Mikulov), Mähren, gest. 30. April 1951 in Tel Aviv [BHR2],,
Krakauer, Moritz Mose, Dr., geb. 16. Sept. 1853 in Nikolsburg (Mikulov), Mähren, gest. 1929 in Breslau [BHR2],,
Kramer, Jacob, Dr [BHR2],,,,,
Kraus, Heinrich, Dr., auch H. Krausz, geb. 7. Dez. 1856 in Miscoliz (Miskolc), Ungarn [BHR2],,
Krimke, Isaak Jakob, 1824-1886 [BHR2],,,,,
Kroner, Hermann, Dr., geb. 21. März 1870 in Münster, Westfalen, gest. 30. Juli 1930 in Badenweiler, Baden [BHR2],
Kroner, Philipp, Dr., geb. 11. Okt. 1833 in Deutsch-Krone (Wałcz), gest. 2. Jan. 1907 in Berlin [BHR2],,,
Kroner, Theodor, Dr., geb. 12. Mai 1845 in Wohlau (Wołów), Schlesien, gest. Anfang Oktober 1923 in Stuttgart [BHR2],,
Kronheim, Emil, geb. 22. April 1890 in Guttstadt (Dobre Miasto), Ostpreußen, gest. 20. Sept. 1971 in Stockholm [BHR2],,,
Kronheim, Hans Enoch, Dr., geb. 5. April 1885 in Polnisch-Krone (Koronowo), Posen, gest. 15. Okt. 1958 in Cleveland, OH/US [BHR2],
Ksinski, Sali, Dr [BHR2],,,,,
Kunstadt, Baruch Benedikt, geb. 1887 in Bratislava, Slovakei, gest. 26. Jan. 1967 in Jerusalem [BHR2],,,
Kurrein, Viktor, Prof. Dr., geb. 1. Jan. 1881 in Linz, gest. 1974 [BHR2],,,
Kusznitzki, Salomon, Dr., geb. 1846 in Kempen (Kępno), Posen, gest. 28. Juni 1917 in Bayreuth [BHR2],,
Kutner, Josua-Höschel, gest. 1878 [BHR2],,,,,
Kuttner, Nathan Hirsch, 1816 bis nach 1891 [BHR2],,,,,
