fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Benet, Naftali, bürgerlich Naphtali Benedikt, geb. 1789 in Mikulov (Nikolsburg), Mähren, gest. 21. Dez. 1857 in Šafov (Schaffa). [BHR1],,
Bensheim, Haium Löb, gest. 30. Aug. 1790 in Mannheim. [BHR1],,,,,
Bensheim, Simon-Simcha, nach 1810 S. Bensbach, geb. 1773 in Mannheim, gest. 13. Juli 1845 das. [BHR1],,,
Benzian, Raphael, geb. vermutlich in Zbąszyn (Bentschen), Großpolen, gest. in Berlin. [BHR1],,,
Berenstein, Samuel, geb. um 1767 in Hannover, gest. 21. Dez. 1838 in Amsterdam. [BHR1],,,,
Bergler, Simon. [BHR1],,,,,,
Bergmann, Lazarus Wolf, geb. 1. Aug 1799 in Heidenheim im Hahnenkamm bei Gunzenhausen, gest. 8. Apr. 1852 in Berlin. [BHR1],,,,
Berlin, Eisik, geb. 18. Dez. 1792 in Hamburg, gest. 1865 das. [BHR1],,,,
Berlin, Hirsch, gest. 24. Cheschwan 1795 in Leszno (Lissa). [BHR1],,,,,
Berlin, Jesaja, auch J. Pick, geb. Okt. 1725 in Eisenstadt, gest. 13. Mai 1799 in Breslau. [BHR1],,,
Berlin, Lase, auch L. Heilbut, geb. 24. Sept. 1740 in Berlin, gest. 22. Januar 1814 in Hamburg. [BHR1],,,
Berlin, Löb (hebr. Arjeh-L.), geb. 1. Juli 1737 in Fürth, gest. 21. Mai 1814 in Kassel. [BHR1],,,,
Berlin, Löb. [BHR1],,,,,,
Berlin, Moses, geb. in Posen, gest. 21. März 1829 in Hamburg. [BHR1],,,,
Berlin, Noah-Haium-Hirsch, geb. Febr. 1734 in Fürth, gest. 5. März 1802 in Altona. [BHR1],,,,
Berlin, Saul, geb. 1740 in Glogau, gest. 16. Nov. 1794 in London. [BHR1],,,,
Berliner, Abraham, Dr. h. c., geb. 1. Mai 1833 in Obrzycko (Obersitzko), Prov. Posen, gest. 21. April 1915 in Berlin. [BHR1],,
Berliner, Tewele, gest. 15. Okt. 1813 in Bad Kreuznach. [BHR1],,,,,
Berlinger, Aron, geb. ca. 1745 in Bödigheim, Odenwald, gest. 6. Nov. 1815 in Hamburg. [BHR1],,,
Berlinger, Hirsch Jakob, geb. 24. März 1798 in Berlichingen, gest. 20. Jan. 1874 das. [BHR1],,,,
Berlinger, Jakob Bär. [BHR1],,,,,,
