Name,ID,GND
CHAJES - Gerson - auch G. BIRKENSTADT ,255,http://d-nb.info/gnd/1060882248
CHALFAN - Aron Löb - auch A. L. HAMBURGER ,256,NA
CHALFAN - Gabriel - auch G. BRODA ,257,NA
CHEFETZ - Moses ,258,http://d-nb.info/gnd/1060881543
CHELM - Abraham ,259,http://d-nb.info/gnd/1059949431
CHLUMETZER - Elias ,260,http://d-nb.info/gnd/1060881306
CHORIN - Aron ,261,http://d-nb.info/gnd/100441505
CHRONIK - Isaac Löw - Dr. ,262,http://d-nb.info/gnd/137981635
COHEN - Abraham ,263,NA
COHEN - Asser Daniel ,264,NA
COHEN - Baruch ,265,NA
COHEN - David ,266,NA
COHEN - Herschel (hebr. Zwi-H.) ,267,http://d-nb.info/gnd/1060881829
COHEN - Moses ,268,NA
COHEN - Raphael ,269,http://d-nb.info/gnd/138978166
COHN - Dr ,270,NA
COHN - Aron Hirz ,271,NA
COHN - Aron - Dr. ,272,NA
COHN - Benjamin - eigentlich B. COHEN ,273,NA
COHN - Elkan ,274,http://d-nb.info/gnd/1059889250
COHN - Falk - Dr. ,275,http://d-nb.info/gnd/141380969
COHN - Feibisch ,276,http://d-nb.info/gnd/1060927713
COHN - H ,277,NA
COHN - Israel Heimann ,278,NA
COHN - Jechiel ,279,NA
COHN - Jekew ,280,NA
COHN - Joseph ,281,NA
COHN - M. J ,282,NA
COHN - Moses ,283,NA
COHN - Pessach ,284,NA
COHN - Salomon - Dr. ,285,http://d-nb.info/gnd/129219606
COHN - Tobias - Dr. ,286,http://d-nb.info/gnd/138612501
COHN - Wolf ,287,http://d-nb.info/gnd/1059888343
COHN - Wolf ,288,http://d-nb.info/gnd/1021996076
COSSMANN - Julius-Jona - Dr. ,289,http://d-nb.info/gnd/1060075989
CRACAUER - Heinrich - Dr. ,290,http://d-nb.info/gnd/1060226693
CRAILSHEIMER - Salomon ,291,NA
DAJAN - Wolf ,292,NA
DANZIGER - E. M ,293,NA
DARMSTADT - Samuel Lazarus ,294,NA
DATTELZWEIG - Moses ,295,http://d-nb.info/gnd/1065486472
DAUS - Lippmann ,296,http://d-nb.info/gnd/1065843089
DAUS - S ,297,NA
David-Tewele [Tabele] ,298,http://d-nb.info/gnd/1053047347
David b. Juda ,299,http://d-nb.info/gnd/1065851367
David b. Juda-Leib ,300,NA
DELEM - Hirsch Samuel (hebr. Zwi.-H. S.) - auch H. DELOM ,301,NA
DELLER - Lippmann ,302,NA
DESSAUER - Moritz - Dr. ,303,http://d-nb.info/gnd/139692479
DEUTSCH - Alexander ,304,http://d-nb.info/gnd/1066280371
DEUTSCH - Aron David - gen. David PRAG ,305,http://d-nb.info/gnd/1066281610
DEUTSCH - David - gen. David KITZEE oder ’Ohäl Dawid ,306,http://d-nb.info/gnd/1082325015
DEUTSCH - David ,307,http://d-nb.info/gnd/121770095
DEUTSCH - Israel ,308,http://d-nb.info/gnd/1053062125
DEUTSCH - Jakob Issaschar Berusch ,309,http://d-nb.info/gnd/1066395675
DEUTSCH - Josef Emanuel ,310,http://d-nb.info/gnd/1066282544
DEUTSCH - Meir ,311,http://d-nb.info/gnd/1066283621
DEUTSCH - Moritz - Dr. ,312,http://d-nb.info/gnd/116087811
DEUTSCH - Moses Aron ,313,http://d-nb.info/gnd/1066283354
DEUTSCH - Salomon - Dr. ,314,http://d-nb.info/gnd/1083811282
DEUTSCHMANN - Joachim ,315,NA
DEUTZ - Menachem-Manlin - franz. Emmanuel D. ,316,NA
DISPECK - David ,317,http://d-nb.info/gnd/1048574288
DISPECKER - Benjamin ,318,NA
