fn,ln,geb,gest,BHR
Cohen,Raphael,1722,1803,BHR1
Cohn,Dr. ,,,BHR1
Cohn,Aron Hirz. ,,,BHR1
Cohn,Aron,1840,1922,BHR1
Cohn,Benjamin,1826,1880,BHR1
Cohn,Elkan,1820,1889,BHR1
Cohn,Falk,1833,1901,BHR1
Cohn,Feibisch,,,BHR1
Cohn,H. ,,,BHR1
Cohn,Israel Heimann. ,,,BHR1
Cohn,Jechiel. ,,,BHR1
Cohn,Jekew,1808,1905,BHR1
Cohn,Joseph,1828,,BHR1
Cohn,M. J. ,,,BHR1
Cohn,Moses. ,,,BHR1
Cohn,Pessach,,1831,BHR1
Cohn,Salomon,1822,1902,BHR1
Cohn,Tobias,1826,1904,BHR1
Cohn,Wolf,,1859,BHR1
Cohn,Wolf,1812,1888,BHR1
Cossmann,Julius-Jona,1816,1855,BHR1
Cracauer,Heinrich,1815,1864,BHR1
Crailsheimer,Salomon,1768,1834,BHR1
Dajan,Wolf. ,,,BHR1
Danziger,E. M. ,,,BHR1
Darmstadt,Samuel Lazarus,,1782,BHR1
Dattelzweig,Moses. ,,,BHR1
Daus,Lippmann,,1829,BHR1
Daus,S. ,,,BHR1
David-Tewele ,,,1862,BHR1
David b. Juda,,,1817,BHR1
David b. Juda-Leib. ,,,,BHR1
Delem,Hirsch Samuel (hebr. Zwi.-H. S.),,1796,BHR1
Deller,Lippmann. ,,,BHR1
Dessauer,Moritz,1842,1895,BHR1
Deutsch,Alexander. ,,,BHR1
Deutsch,Aron David,1812,1878,BHR1
Deutsch,David,1755,1831,BHR1
Deutsch,David,1810,1873,BHR1
Deutsch,Israel,1800,1853,BHR1
Deutsch,Jakob Issaschar Berusch. ,,,BHR1
Deutsch,Josef Emanuel,1730,1826,BHR1
Deutsch,Meir,,1781,BHR1
Deutsch,Moritz,,1892,BHR1
Deutsch,Moses Aron,1752,1799,BHR1
Deutsch,Salomon,1816,,BHR1
Deutschmann,Joachim,1760,1837,BHR1
Deutz,Menachem-Manlin,1764,1842,BHR1
Dispeck,David,1715,1793,BHR1
Dispecker,Benjamin,1800,1828,BHR1
Dispecker,Hayum Moses,,1832,BHR1
Dispecker,Simon,1766,1847,BHR1
Donath,Leopold,1842,1876,BHR1
Dörnberger,Jakob,,1800,BHR1
